service_id,name,category,type,description,target_group,income_requirement,cost_to_user,access_type,location_id,availability,phone,email,website,keywords,notes,needs_referral,last_checked,last_verified
SRV039,Nationaal Fonds Kinderhulp,Kinderen en opgroeien,Regeling,"Het Nationaal Fonds Kinderhulp biedt financiële ondersteuning en spullen voor kinderen en jongeren die in armoede opgroeien, via projecten zoals Geef ze warmte, Actie Pepernoot en Actie Zomerpret.",Kinderen en jongeren die in armoede opgroeien,Alleen via aanvraag door een tussenpersoon die de financiële situatie kent,Gratis,referral_only,,Aanvragen via zorgverlener of maatschappelijk werker,0570-611899,aanvragen@kinderhulp.nl,https://aanvragen.kinderhulp.nl/aanmelden/,"kinderhulp, armoede, kinderen, jongeren, spullen, sinterklaas, zomerpret, schoolspullen",Aanvraag alleen door tussenpersonen zoals zorgverleners of maatschappelijk werkers.,true,2026-03-22T22:44:41.159Z,03-11-2026
SRV040,Kinderopvang bij sociaal medische indicatie (SMI),"Kinderen en opgroeien, Gezondheid en zorg",Regeling,Met een sociaal medische indicatie kunnen ouders die tijdelijk niet zelf voor hun kinderen kunnen zorgen een vergoeding krijgen voor kinderopvang tot maximaal drie dagen per week.,"Ouders in Leiden of Leiderdorp met kinderen jonger dan 12 jaar en sociale, mentale of lichamelijke problemen",Geen kinderopvangtoeslag of andere opvangvergoeding; verdere beoordeling door gemeente,Afhankelijk van eigen bijdrage na vergoeding,online,,Aanvraag per post of via website; beoordeling op basis van medisch advies,14 071,,https://gemeente.leiden.nl/inwoners-en-ondernemers/zorg-en-onderwijs/kinderopvang/kinderopvang-bij-sociale-of-medische-problemen/,"SMI, kinderopvang, sociaal medisch, indicatie, ouders, problemen, opvangkosten",Onafhankelijk medisch advies en plan van aanpak nodig.,true,2026-03-22T22:44:41.159Z,03-11-2026
SRV041,Stichting Leergeld,Kinderen en opgroeien,Regeling,"Stichting Leergeld betaalt mee aan sport, cultuur, schoolspullen en zwemlessen voor kinderen uit gezinnen met een laag inkomen.","Inwoners met kinderen van 4 tot 18 jaar, of ouder dan 18 op de middelbare school",Inkomen niet hoger dan 130% van het sociaal minimum,Gratis,online,,Aanvragen het hele jaar mogelijk via aanmeldformulier,071 207 4118,info@leergeldleidenenomstreken.nl,https://leergeldleidenenomstreken.nl/direct-aanmelden,"leergeld, sport, cultuur, school, laptop, zwemles, kinderen, laag inkomen",Actuele inkomensgrenzen via gemeente Leiden.,false,2026-03-22T22:44:41.159Z,03-11-2026
SRV042,Zwemlessen via Jeugdfonds Sport en Cultuur,Kinderen en opgroeien,Regeling,Het Jeugdfonds Sport en Cultuur vergoedt de kosten van zwemlessen voor kinderen uit gezinnen met een laag inkomen zodat zij hun zwemdiploma kunnen halen.,Kinderen uit gezinnen met een laag inkomen die zwemles willen volgen,Gezinsinkomen maximaal 140% van het sociaal minimum,Gratis,referral_only,,Aanvraag via meerkracht; doorlopend mogelijk,0174-244940,zuid-holland@jeugdfondssportencultuur.nl,https://jeugdfondssportencultuur.nl/fondsen/zuid-holland,"zwemles, zwemdiploma, jeugdfonds, sport, kinderen, laag inkomen",Zwemles telt als sport binnen Jeugdfonds. Aanvraag alleen via meerkracht.,true,2026-03-22T22:44:41.159Z,03-11-2026
SRVO57,Collectieve aanvullende zorgverzekering,Gezondheid en zorg,Regeling,"Een collectieve aanvullende zorgverzekering voor inwoners met een laag inkomen waarbij de gemeente korting geeft op de premie en keuze biedt uit drie pakketten (Basic, Standard en Top) via Zorg en Zekerheid.",Alle inwoners,Inkomen niet hoger dan 120% van het sociaal minimum,"Voor Basic €156,75, voor Standard €177.87 en voor top €197.91, alles per maand.",online,,,,,https://www.gezondverzekerd.nl/gemeente/leiden/zorgverzekeringen#/pakketten,"zorgverzekering, gemeentepolis, zorgverzekering korting,  zorg en zekerheid verzekering, goedkope zorgverzekering, gemeentelijke zorgverzekering, zorgkosten ondersteuning, zorgkosten, zorgpremie betalen, medische kosten, gezondheid",,false,2026-03-22T22:44:41.159Z,16-03-2026
SRV060,Volwassenenfonds Sport & Cultuur,Gezondheid en zorg,Regeling,"Volwassenenfonds Sport & Cultuur betaalt (maximaal €250 per jaar) sport- en cultuuractiviteiten voor volwassenen van 18 jaar of ouder met een laag inkomen, zoals zwemles, muziekles, fitness, voetbal, theater of dans.",Inwoners van 18 jaar of ouder met een laag inkomen.,Inkomen niet hoger dan 120% van het sociaal minimum,Gratis,referral_only,,Ma-Wo 09:00-12:00 en Wo 13:00-16:00,0174 - 24 49 40,zuid-holland@volwassenenfonds.nl,https://www.volwassenenfonds.nl/deelnemers/Leiden/,"volwassenenfonds, sportfonds, cultuurfonds, cultuur, sports, buurtsportcoach",,true,2026-03-22T22:44:41.159Z,16-03-2026
SRV061,Zorgtoeslag,Gezondheid en zorg,Regeling,Inwoners met een laag inkomen kunnen een maandelijkse vergoeding van de overheid ontvangen om (een deel van) hun zorgverzekeringspremie te betalen.,Inwoners van 18 jaar of ouder die een Nederlandse zorgverzekering hebben en een laag inkomen hebben.,In 2025 moet het bruto jaarinkomen lager zijn dan €39.719 (€50.206 met toeslagenpartner) en het vermogen lager dan €141.896 (€179.429 met toeslagenpartner).,Gratis,online,,,,,https://www.belastingdienst.nl/wps/wcm/connect/nl/toeslagen/content/inloggen-op-mijn-toeslagen,"zorgpremie subsidie, tegemoetkoming zorgverzekering, hulp bij zorgkosten, zorgkorting, bijdrage ziektekostenverzekering, zorg","De fysieke locaties zijn extern, bieden gratis diensten aan en daarom verzoeken wij u de openingstijden per locatie te controleren.",false,2026-03-22T22:44:41.159Z,16-03-26
SRV062,Wmo,Gezondheid en zorg,Regeling,"Ouderen en mensen met een beperking kunnen bij de gemeente hulp aanvragen. Het kan gaan om hulp bij het schoonmaken, aanpassingen in huis of vervoer. Deze hulp helpt hen om zo lang mogelijk zelfstandig thuis te blijven wonen als zij dit zelf niet kunnen betalen.",Ouderen en mensen met een beperking die deze hulp niet zelf kunnen regelen of betalen.,Geen,€21,"online, phone",,Ma-Vr0 9:00-17:00,071 - 51 67 877,,https://gemeente.leiden.nl/inwoners-en-ondernemers/zorg-en-onderwijs/zorg/wet-maatschappelijke-ondersteuning-wmo/,"thuiszorg aanvragen, hulp thuis, rolstoel, scootmobiel, huishoudelijke hulp, zorg voor thuis, huizorg, ouderen,schoonmaken,aanpassingen aan het huis,vervoe",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV065,GGD Hollands Midden,Gezondheid en zorg,Regeling,"De GGD biedt preventieve gezondheidszorg zoals vaccinaties, gezondheidscontroles en voorlichting om te voorkomen dat mensen ziek worden.",Alle inwoners,Geen,Gratis,walkin,LOC31,Ma-Vr 08:30-17:00,088 - 308 30 00,info@ggdhm.nl,http://ggdhm.nl/,"vaccinatie afspraak, gezondheidscheck, prik halen, infectieziekten, jeugdgezondheidszorg, vaccinatie, ziekten, ziekte",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV087,Geen gemeentebelasting betalen (kwijtschelding),Wonen en energie besparen,Regeling,Inwoners met een laag inkomen kunnen een aanvraag doen om gemeentelijke belastingen zoals afvalstoffenheffing of rioolheffing niet te hoeven betalen.,Alle inwoners,Inkomen niet hoger dan 100% van het sociaal minimum.,Gratis,online,,,071 – 525 6200,,https://digitalebalie.bsgr.nl/digid.info.php,"geen belasting betalen, kwijtschelding aanvragen, afvalstoffenheffing kwijtschelding, gemeentebelasting verminderen, schulden gemeentem, kwijtschelding, afvalstoffenheffing",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV088,Huurtoeslag,Wonen en energie besparen,Regeling,"Huurders van 18 jaar of ouder met een zelfstandige woonruimte en een huurovereenkomst kunnen een maandelijkse bijdrage van de overheid krijgen om (een deel van) hun huur te betalen, als hun huurprijs niet hoger is dan €900,07 (€477,20 voor bewoners jonger dan 23 jaar zonder kinderen) en hun inkomen en vermogen niet te hoog zijn.",Inwoners van 18 jaar of ouder met een zelfstandige woonruimte en huurovereenkomst,Vermogen niet hoger dan €38.479 per inwoner (€76.958 voor partners); vermogen van kinderen onder 18 jaar telt mee.,Gratis,online,,,,,http://belastingdienst.nl/wps/wcm/connect/nl/toeslagen/content/inloggen-op-mijn-toeslagen,"huursubsidie, huurkorting aanvragen, tegemoetkoming huur, huurhulp, bijdrage huurkosten, huur, thuis",Controleer of u voor deze toeslag in aanmerking komt op: https://www.belastingdienst.nl/wps/wcm/connect/nl/huurtoeslag/content/kan-ik-huurtoeslag-krijgen,false,2026-03-22T22:44:41.159Z,16-03-26
SRV089,De Energiefixers,Wonen en energie besparen,Ondersteuning,"Energiefixers komen gratis langs bij huurders met een slecht geïsoleerde woning om kleine energiebesparende maatregelen te installeren, tips te geven over energie besparen en isolatie, en problemen zoals schimmel of reparaties te signaleren aan de verhuurder","Inwoners met een huurhuis met energielabel D, E, F of G.",Geen,Gratis,"appointment, home_visit",,Ma-Vr 09:00-17:00,06-40 22 80 67,info@energiefixers071.nl,http://energiefixers071.nl/,"gratis energiebesparing thuis, huis isoleren huurder, tochtstrips gratis, ledlampen gratis, energiehulp aan huis,isoleren, energiebesparing, energilabel",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV090,Energicoach,Wonen en energie besparen,Ondersteuning,"Vrijwillige energiecoaches helpen inwoners gratis met tips en advies om thuis energie te besparen, bijvoorbeeld over energiekosten, subsidies en maatregelen zoals isolatie.",Huurders of inwoners met een koophuis,Geen,Gratis,"appointment, home_visit",LOC036,Ma-Vr 09:00-17:00,,info@energiekleiden.nl,http://energiekleiden.nl/energiecoaches,"gratis advies energiebesparing, coach energierekening verlagen, hulp bij isolatie, subsidies verduurzaming, energieadvies aan huis, verduurzaming, energie, isolatie",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV091,Her Huurteam,Wonen en energie besparen,Ondersteuning,"Het Huurteam helpt huurders gratis met vragen over hun huurprijs, servicekosten, onderhoud of het energiezuiniger maken van hun woning.",Inwoners die wonen in een huurhuis,Geen,Gratis,"home_visit, appointment",,Ma-Vr 09:00-17:00,085 - 27 34 933,info@huurteamleiden.nl,https://huurteamleiden.nl/,"huurprijs te hoog, servicekosten controleren, geschil met verhuurder, huuradvies, onderhoud woning afdwingen, huurprijs, servicekosten, huurproblemen, onderhound, energiebesparing, gebreken",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV095,Energiecontracten via Gezondverzekerd,Wonen en energie besparen,Ondersteuning,"Via Gezondverzekerd.nl kunnen inwoners energieleveranciers vergelijken en een goedkoper energiecontract afsluiten, ook als ze eerder betalingsproblemen hadden.",Alle inwoners,Geen,Gratis,online,,Ma-Vr 09:00-17:00,085 - 30 35 389,,https://www.gezondverzekerd.nl/zorgverzekeringen,"goedkoopste energieleverancier, energiecontract vergelijken, overstappen energie, lagere energierekening, nieuw energiecontract afsluiten, energie, energiecontract",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV096,Regionaal Energieloket,Wonen en energie besparen,Informatie,Het Regionaal Energieloket biedt een overzicht van alle beschikbare subsidies en leningen voor het verduurzamen van je woning.,Alle inwoners,Geen,Gratis,online,,Ma-Vr 09:00-17:00,088 - 52 54 110,vragen@regionaalenergieloket.nl,https://regionaalenergieloket.nl/leiden/subsidies-en-leningen,"subsidie zonnepanelen, lening isolatie, warmtepomp subsidie, duurzaam huis financieren, energiesubsidie aanvragen, subsidie, lening, belastingvoordeel, verduurzamen, verduur",,false,2026-03-22T22:44:41.159Z,16-03-26
SRV074,De Stadsbank,Hulp bij schulden,Ondersteuning,Hulp en advies bij beginnende of problematische schulden.,Inwoners met schulden,Geen,Gratis,"walkin, phone",LOC018,Onbekend,14 071,infostadsbank@leiden.nl,www.leiden.nl/stadsbank,schulden; lening,,false,2026-03-22T22:44:41.159Z,2026-03-11
SRV075,Humanitas Thuisadministratie,Hulp bij schulden,Ondersteuning,Vrijwilligers helpen met het op orde brengen van de administratie.,Inwoners met administratieve achterstanden,Geen,Gratis,home_visit,LOC019,,06 - 82 01 28 69,thuisadministratie@humanitas.nl,www.humanitas.nl/leiden,administratie; post,,false,2026-03-22T22:44:41.159Z,2026-03-11
SRV076,Spreekuur Papier en Geld / Stichting Voor Elkaar Leiden,Hulp bij schulden,Ondersteuning,"Loop binnen voor: hulp bij het aanvragen van toeslagen, kwijtschelding belasting, post die u niet goed begrijpt of wanneer u financiële zorgen heeft.","Inwoners van Leiden, Leiderdorp, Oegstgeest en Voorschoten",Geen,Gratis,walkin,"LOC012,LOC021,LOC022,LOC023,LOC024,LOC025,LOC026,LOC028,LOC029",Dinsdag 09:00-11:00 (Vogelvlucht); Woensdag 09:30-12:00 (Dwars); Donderdag 13:00-15:00 (Het Gebouw & Morschwijck); 1e & 3e dinsdag 09:00-11:00 (de Stadskamer); 2e & laatste dinsdag 10:00-12:00 (Matilo); 2e & laatste vrijdag 10:00-12:00 (Ons Eiland); Dinsdag 14:00-16:00 (Bibliotheek Oegstgeest); Vrijdag 13:30-14:30 (Bibliotheek Voorschoten),,info@voorelkaarleiden.nl,www.schuldhulpmaatje.nl,toeslagen; belasting; DigiD; noodfonds energie; post; financiële zorgen,Let op: voor Oegstgeest eerst aanmelden bij de balie van de bibliotheek. Voor Voorschoten eerst een afspraak maken bij de balie.,false,2026-03-22T22:44:41.159Z,2026-03-10
SRV026,Bereken Uw Recht,Hulp bij schulden,Informatie,Online tool om te zien op welke regelingen u recht heeft.,Inwoners met een laag inkomen,Geen,Gratis,online,,,,,Niet‑werkende link,,,false,2026-03-22T22:44:41.159Z,2026-03-11
SRV027,Geldfit,Hulp bij schulden,Informatie,"Dé plek voor vragen en zorgen over geld. Biedt persoonlijk advies, de Potjes-check en de Geldfit-test om te helpen bij toeslagen, regelingen en het oplossen van schulden.",Iedereen (speciale informatie voor ondernemers en jongeren),Geen,Gratis,"online, phone",,"Ma-vrij 09:00-21:00 (bellen/chat). Appen, mailen en website 24/7.",0800-8115,,www.geldfit.nl,test; financien; potjes-check; toeslagen; geldzorgen; ondernemers; jongeren,Anoniem contact is mogelijk. Biedt onafhankelijke hulp via Stichting NSR. Informatie ook beschikbaar in meerdere talen.,false,2026-03-22T22:44:41.159Z,2026-03-16
SRV030,Startpunt Geldzaken,Hulp bij schulden,Informatie,"Startpunt Geldzaken helpt inwoners met het beheren van hun geld via anonieme, persoonlijke geldplannen die passen bij hun situatie (bijv. rondkomen met kinderen, werkloosheid, pensioen, sparen).",Inwoners van Leiden,Geen,Gratis,online,,24/7,,,www.startpuntgeldzaken.nl/leiden,geldplan; stappenplan; geldzaken; NIBUD; sparen; budgetteren; werkloosheid,Ontwikkeld i.s.m. het Nibud. De online tool kan volledig anoniem worden gebruikt.,false,2026-03-22T22:44:41.159Z,2026-03-16
SRV028,Marengo Dierenartsapp,Onkosten en dagelijks leven,Informatie,"Via deze app kunnen inwoners met een huisdier gratis praten met ervaren dierenartsen voor advies, de medische geschiedenis bijhouden en herinneringen instellen voor vaccinaties.",Inwoners met een huisdier,Laag inkomen,Gratis,online,LOC032,Kantoor klantenservice: ma-vr 09:00-17:00.,085 8 222 999,info@perfectpetcare.nl,www.perfectpetcare.nl,huisdieren; dierenarts; app; medisch advies; lage inkomens; BVDD,"Om de app gratis te gebruiken, moet de inwoner zich eerst registreren bij stichting BVDD.",true,2026-03-22T22:44:41.159Z,2026-03-16
SRV029,Marengo huisdierverzekering,Onkosten en dagelijks leven,Regeling,Verzekering voor een kat of kleine hond die 90% van de dierenartskosten betaalt. Er is geen eigen risico en men hoeft geen ingewikkelde keuzes te maken.,Inwoners met een huisdier (kat of kleine hond),Laag inkomen (moet bewezen worden),"18,95€ per maand",online,LOC032,Aanvragen 24/7 via de app,085 8 222 999,info@perfectpetcare.nl,www.perfectpetcare.nl,huisdier; verzekering; dierenarts; BVDD; lage inkomens; hond; kat,Aanvragen gaat via de gratis app. Registratie bij stichting BVDD is verplicht. Geen standaard gemeenteregeling.,true,2026-03-22T22:44:41.159Z,2026-03-16
SRV043,Centrum voor Jeugd en Gezin (CJG),Kinderen en opgroeien,Ondersteuning,"Helpt ouders, kinderen en jongeren met gratis advies over opvoeden en opgroeien. Biedt hulp bij persoonlijke/sociale problemen en organiseert cursussen en workshops.","Ouders, kinderen en jongeren",Geen,"Grotendeels gratis (kosten voor sommige cursussen, zie notities)","walkin, phone","LOC033,LOC015,LOC035,LOC023",Ma t/m vrij 08:00-16:00 (telefonisch advies jeugdverpleegkundige 08:30-12:30),088 254 23 84,info@cjgcursus.nl,cjgleiden.nl/pagina/contact/606164,opvoeden; jeugd; kinderen; jongeren; opgroeien; CJG; cursussen,"Als een betaalde cursus te duur is, kunnen inwoners mailen naar info@cjgcursus.nl.",false,2026-03-22T22:44:41.159Z,2026-03-16
SRV044,JES Rijnland,Kinderen en opgroeien,Ondersteuning,"Stichting JES Rijnland zet zich in voor gelijke kansen. Ze bieden programma's (zoals VoorleesExpress, WeekendKlas en Opstapje) en huisbezoeken aan. Daarnaast helpen brugfunctionarissen op scholen ouders met regelingen en formulieren.",Kinderen en jongeren (0-18 jaar) en hun ouders,Geen,Gratis,walkin,"LOC023,LOC30",,071 - 34 20 900,info@jesrijnland.nl,www.jesrijnland.nl,gelijke kansen; jeugd; gezinnen; brugfunctionaris; huisbezoek; VoorleesExpress; WeekendKlas,"JES geeft zelf geen geld, maar verbindt het gezin met de juiste organisaties. Medewerkers spreken ook Arabisch, Engels en Frans. Er zijn vaste wijkcontactpersonen per stadsdeel.",false,2026-03-22T22:44:41.159Z,2026-03-16
SRV045,Kwikstart,Kinderen en opgroeien,Informatie,Kwikstart geeft jongeren tussen de 16 en 27 jaar informatie over belangrijke onderwerpen. Bijvoorbeeld over wonen geld school gezondheid verzekeringen rechten en plichten. Naast algemene informatie biedt Kwikstart ook lokale informatie.,Jongeren tussen de 16 en 27 jaar,Geen,Gratis,online,,,,,kwikstart.nl/gemeenten/leiden,"jongerenhulp, zelfstandig wonen, huisvesting, geldzaken, toeslagen, zorgverzekering, werk zoeken, studiefinanciering, mentale gezondheid, praktische hulp",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV046,Levenlanglerenkrediet,Studeren en werken,Regeling,Het Levenlanglerenkrediet is een regeling voor inwoners die een opleiding willen volgen. Met deze regeling kunnen inwoners geld lenen voor hun opleiding. Zo kunnen zij zich verder ontwikkelen en meer kans maken op een baan die bij hen past.,Inwoners die een opleiding willen volgen maar geen recht meer hebben op studiefinanciering; jonger dan 57 jaar,Geen,Lening (terugbetalen),online,,Aanvragen voordat de opleiding begint,,,duo.nl/particulier/levenlanglerenkrediet/aanvragen-en-wijzigen.jsp,"lening, opleiding, mbo, hbo, universiteit, studiefinanciering, DUO",,false,2026-03-22T22:44:41.159Z,16/3/3026
SRV047,Studiefinanciering,Studeren en werken,Regeling,"Inwoners die studeren kunnen studiefinanciering krijgen. Dat is geld van de overheid, waarmee inwoners een deel van hun studie kunnen betalen. Inwoners kunnen zelf bepalen wat zij aanvragen.","Inwoners jonger dan 30 jaar die een erkende mbo-, hbo- of universitaire opleiding volgen",Afhankelijk van inkomen inwoner of ouders,Gratis (beurs) / Lening (terugbetalen),online,,Aanvragen drie maanden voor start studie,,,duo.nl/particulier/studiefinanciering,"studie, beurs, lening, reisproduct, mbo, hbo, universiteit, DUO, studiepunten",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV048,Studietoeslag,Studeren en werken,Regeling,"Studenten van 15 jaar of ouder kunnen studietoeslag krijgen. Dat is geld van de overheid die helpt met het betalen van de studie. Studietoeslag is bedoeld voor studenten met een ziekte of beperking, die niet kunnen werken naast hun studie.",Studenten van 15 jaar of ouder wonend in Leiden of Leiderdorp met ziekte of beperking die werken naast studie onmogelijk maakt,Ontvangt studiefinanciering (WSF 2000) of tegemoetkoming schoolkosten (WTOS); geen Wajong-uitkering,Gratis,online,,Ma-Vr 09:00-17:00,14071,,https://gemeente.leiden.nl/inwoners-en-ondernemers/uitkering-en-inkomen/hulp-bij-laag-inkomen/studietoeslag/,"studietoeslag, ziekte, beperking, studie, Leiden, Leiderdorp, WSF, WTOS",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV049,Tegemoetkoming scholieren,Studeren en werken,Regeling,"De tegemoetkoming scholieren is een regeling voor studenten van 18 jaar en ouder die voltijd vmbo, havo, vwo, vso of vavo volgen. Met deze regeling krijgen studenten hulp bij het betalen van kosten voor school, zoals schoolboeken en ander studiemateriaal.",Studenten van 18 jaar of ouder die voltijd voortgezet onderwijs volgen met Nederlandse nationaliteit of verblijfsvergunning,Aanvullende toelage afhankelijk van inkomen ouders,Gratis,online,,Maandelijkse uitbetaling ook tijdens zomervakantie; aanvragen vanaf kwartaal na 18e verjaardag,,,https://duo.nl/particulier/tegemoetkoming-scholieren/aanvragen-en-wijzigen.jsp,"scholieren, vmbo, havo, vwo, vso, vavo, schoolboeken, studiemateriaal, basistoelage, DUO",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV050,De VAKbeweging,Studeren en werken,Ondersteuning,"De VAKbeweging geeft gratis hulp bij het zoeken naar werk. Inwoners die misschien hun baan verliezen, een tijdelijk contract hebben of niet kunnen werken door ziekte, kunnen zich aanmelden. Met coaching en begeleiding helpt de VAKbeweging bij het vinden van een nieuwe baan die goed bij hen past.",Mensen die hun baan verliezen een tijdelijk contract hebben of niet kunnen werken door lichamelijke of geestelijke klachten; werkgever/sector biedt zelf geen hulp,Geen,Gratis,online,,Monday to Friday from 09.00 - 13.00 - Op afspraak na aanmelding,085-0487742,info@devakbeweging.nl,devakbeweging.nl,"werk, baan, coaching, loopbaan, ontslag, tijdelijk contract, ziekte, workshops",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV051,DZB,Studeren en werken,Ondersteuning,"DZB Leiden helpt mensen met het zoeken naar werk. Ze vinden het belangrijk dat inwoners een baan krijgen waar ze zich goed voelen en kunnen groeien. DZB helpt inwoners met trainingen, leerwerktrajecten, begeleiding en bemiddeling.",Inwoners die werk zoeken in de omgeving van Leiden; ook beschutte werkplekken (indicatie Beschut werk via UWV) en ontwikkelbanen (indicatie Banenafspraak via UWV),Geen,Gratis,"phone,email",LOC011,Mo-Vr 09:00-17:00,071 - 58 18 585,info@dzb.nl,dzb.nl,"werk, re-integratie, beschut werk, leerwerktraject, begeleiding, UWV, Banenafspraak",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV052,JobHulpMaatje,Studeren en werken,Ondersteuning,"Inwoners die zoeken naar werk kunnen gratis hulp krijgen van JobHulpMaatje. De vrijwillige coaches van JobHulpMaatje helpen inwoners bij het ontdekken van hun talenten, waardoor zij werk kunnen vinden dat bij ze past.",Inwoners wonend in Leiden of Oegstgeest die werk zoeken,Geen,Gratis,online,,,,info@voorelkaarleiden.nl,https://jobhulpmaatje.nl/aanmelden/?deelnametype=JobGroup,"cv, sollicitatiebrief, sollicitatiegesprek, JobGroup, vrijwilligers, coaches, Leiden, Oegstgeest",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV053,JobOn,Studeren en werken,Ondersteuning,JobOn helpt inwoners bij het zoeken naar een baan. Inwoners kunnen workshops en webinars volgen om bij te leren. Ook organiseert JobOn evenementen waarin inwoners hun netwerk kunnen uitbreiden.,Werkzoekenden,Geen,Gratis,online,,Ma-Do 09:00-17:00,,info@jobon.nl,jobon.nl/voor-werkzoekenden,"werk, baan, workshops, webinars, netwerk, evenementen, profiel, Leiden",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV054,Jongeren Informatie Punt (JIP),Studeren en werken,Ondersteuning,"Het Jongeren Informatie Punt (JIP) helpt inwoners tussen de 16 en 27 jaar met hun vragen over geld, wonen, werk, studie en gezondheid. JIP helpt jongeren met gratis advies, hulp en luistert naar hun vragen en problemen.","Inwoners tussen 16 en 27 jaar die wonen, werken of studeren in Leiden",Geen,Gratis,"walkin, phone, email",LOC025,Elke donderdagavond 17:00-20:00; geen afspraak nodig,06 - 38 32 29 89,leiden@solnetwerk.nl,https://www.solnetwerk.nl/wat-we-doen/kinderen-tieners-jongeren/jongerenwerk/jongereninformatiepunt-jip-leiden/,"jongeren, geld, wonen, werk, studie, gezondheid, relaties, advies, workshops, Leiden",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV055,Werkcafé Leiden,Studeren en werken,Ondersteuning,"Bij het werkcafé Leiden kunnen inwoners vragen stellen over werk en opleidingen. Inwoners kunnen zonder afspraak langskomen, zij worden geholpen door de adviseurs van het Werkcafé.","Inwoners wonend in Leiden, Leiderdorp, Oegstgeest of Zoeterwoude",Geen,Gratis,walkin,LOC008,Elke dinsdag 09:30-11:30; geen afspraak nodig,,info@werkcafehollandrijnland.nl,werkcafehollandrijnland.nl,"werk, opleiding, sollicitaties, loopbaan, vaardighedentest, beroepen, studies, Leiden, Leiderdorp",,false,2026-03-22T22:44:41.159Z,16/3/2026
SRV056,YouRight,Studeren en werken,Ondersteuning,"YouRight helpt jongeren gratis met juridische vragen. Bijvoorbeeld over school, stage, werk, geld, huur of boetes. Jongeren krijgen hulp en advies van experts. De hulp is gratis en anoniem.	Jongeren met juridische vragen",Jongeren,Geen,Gratis,online,,,,Youright@studiomoio.nl,youright.nl,"juridisch, school, stage, werk, geld, huur, boetes, anoniem, jongeren",,false,2026-03-22T22:44:41.159Z,16/3/2026
